,Dealer's Price:,Delivery:,Price + Delivery:,MSRP:,Location:,Mileage:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Engine:,Drivetrain:,Fuel Type:,VIN:,Stock #:,Condition:,Price:,Model:,Dealer Name:,Dealer Address:,Battery Performance:,Cabin Size:
73,"$54,887",$475,"$55,363","$56,980","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW260722,NW260722,New,"$55,363",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
74,"$54,973",$475,"$55,449","$57,075","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW239486,NW239486,New,"$55,449",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
75,"$54,981",$475,"$55,457","$57,085","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW271678,NW271678,New,"$55,457",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
76,"$55,485",Free,"$55,485","$58,885","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Bright White,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW275795,275795,New,"$55,485",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079","2.4 hr charge time, 21 mi range",
77,"$55,880",Free,"$55,880","$59,280","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW275794,275794,New,"$55,880",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079","2.4 hr charge time, 21 mi range",
78,"$55,427",$475,"$55,903","$57,580","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW239686,NW239686,New,"$55,903",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
79,"$56,724",$475,"$57,200","$57,885","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW271677,NW271677,New,"$57,200",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
80,"$57,078",$475,"$57,554","$58,280","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW276283,NW276283,New,"$57,554",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
81,"$57,263",$475,"$57,739","$59,620","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW153298,NW153298,New,"$57,739",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
82,"$58,280",,,"$58,280","San Antonio, TX
8 mi away",0 miles,Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW205292,W205292,New,"$58,280",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
83,"$58,280",,,"$58,280","San Antonio, TX
8 mi away",13 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW136926,W136926,New,"$58,280",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
84,"$58,550",,,"$58,550","San Antonio, TX
8 mi away",0 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW229521,W229521,New,"$58,550",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
85,"$58,580",$308,"$58,888","$58,580","Lamesa, TX
308 mi away",25 miles,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW177883,NW177883,New,"$58,888",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331","2.4 hr charge time, 21 mi range",
86,"$58,945",,,"$58,945","San Antonio, TX
8 mi away",14 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP66NW229520,W229520,New,"$58,945",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
87,"$58,617",$475,"$59,093","$61,125","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW233834,NW233834,New,"$59,093",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
88,"$59,056",$475,"$59,532","$60,475","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW278338,NW278338,New,"$59,532",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
89,"$59,770",$399,"$60,169","$59,770","Frisco, TX
269 mi away",0 miles,Automatic,Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW274367,53261012,New,"$60,169",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035","2.4 hr charge time, 21 mi range",
90,"$59,730",$475,"$60,206","$61,225","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW277586,NW277586,New,"$60,206",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
91,"$59,950",$475,"$60,426","$61,470","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW236159,NW236159,New,"$60,426",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
92,"$59,952",$475,"$60,428","$61,470","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW153303,NW153303,New,"$60,428",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
93,"$59,952",$475,"$60,428","$61,470","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Yellow (High Velocity Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW277754,NW277754,New,"$60,428",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
94,"$60,695",,,"$60,695","Seguin, TX
28 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP64NW214417,NW214417,New,"$60,695",Wrangler,Yaklin Chrysler Dodge Jeep Ram,"1550 W Kingsbury St Seguin, TX 78155","2.4 hr charge time, 21 mi range",
95,"$60,375",$399,"$60,774","$60,375","Frisco, TX
269 mi away",0 miles,Automatic,White,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW198671,53261160,New,"$60,774",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035","2.4 hr charge time, 21 mi range",
96,"$61,075",,,"$61,075","San Antonio, TX
8 mi away",12 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW228121,W228121,New,"$61,075",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
97,"$60,629",$475,"$61,105","$63,075","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW249457,NW249457,New,"$61,105",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
98,"$60,779",$475,"$61,255","$62,390","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Firecracker Red Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW277610,NW277610,New,"$61,255",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
99,"$60,782",$475,"$61,258","$63,530","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW230479,NW230479,New,"$61,258",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
100,"$61,470",,,"$61,470","San Antonio, TX
8 mi away",0 miles,Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW228122,W228122,New,"$61,470",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
101,"$61,470",,,"$61,470","San Antonio, TX
8 mi away",0 miles,Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW228120,W228120,New,"$61,470",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
102,"$61,470","$2,065","$63,535","$61,470","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Black Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW271126,G220269,New,"$63,535",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301","2.4 hr charge time, 21 mi range",
103,"$61,034",$475,"$61,510","$61,675","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP62NW249778,NW249778,New,"$61,510",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
104,"$61,570",,,"$61,570","San Antonio, TX
8 mi away",0 miles,Automatic,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW264952,W264952,New,"$61,570",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
105,"$61,600","$2,065","$63,665","$61,600","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Bright White Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW275034,G220259,New,"$63,665",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301","2.4 hr charge time, 21 mi range",
106,"$61,164",$475,"$61,640","$62,820","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW220272,NW220272,New,"$61,640",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
107,"$61,770",,,"$61,770","San Marcos, TX
38 mi away",11 miles,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW232294,C20482,New,"$61,770",Wrangler,San Marcos Chrysler Dodge,"2990 I-35 S San Marcos, TX 78666","2.4 hr charge time, 21 mi range",
108,"$61,478",$475,"$61,954","$62,880","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW268026,NW268026,New,"$61,954",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
109,"$61,478",$475,"$61,954","$62,880","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW268009,NW268009,New,"$61,954",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
110,"$61,570",$399,"$61,969","$61,570","Frisco, TX
269 mi away",0 miles,Automatic,Black,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW228569,53282679,New,"$61,969",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035","2.4 hr charge time, 21 mi range",
111,"$61,583",$475,"$62,059","$63,285","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW259848,NW259848,New,"$62,059",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
112,"$61,611",$475,"$62,087","$64,450","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP68NW239658,NW239658,New,"$62,087",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
113,"$61,658",$475,"$62,134","$63,080","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sarge Green Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR69NW257812,NW257812,New,"$62,134",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
114,"$61,935",$308,"$62,243","$61,935","Lamesa, TX
308 mi away",15 miles,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP65NW153563,NW153563,New,"$62,243",Wrangler,Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331","2.4 hr charge time, 21 mi range",
115,"$61,834",$475,"$62,310","$63,275","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW260703,NW260703,New,"$62,310",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
116,"$62,325",Free,"$62,325","$65,725","Houston, TX
172 mi away",0 miles,8-Speed Automatic,Black,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW198655,198655,New,"$62,325",Wrangler,Mac Haik Chrysler Dodge Jeep RAM Energy Corridor,"12111 Katy Fwy Houston, TX 77079","2.4 hr charge time, 21 mi range",
117,"$62,525",,,"$62,525","San Antonio, TX
8 mi away",0 miles,Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP61NW198211,W198211,New,"$62,525",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
118,"$62,220",$399,"$62,619","$62,220","Frisco, TX
269 mi away",13 miles,Automatic,Silver,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW228571,53282681,New,"$62,619",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035","2.4 hr charge time, 21 mi range",
119,"$62,220",$399,"$62,619","$62,220","Frisco, TX
269 mi away",13 miles,Automatic,Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP69NW228572,53282682,New,"$62,619",Wrangler,Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035","2.4 hr charge time, 21 mi range",
120,"$62,184",$475,"$62,660","$63,950","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP60NW260309,NW260309,New,"$62,660",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
121,"$62,730","$2,065","$64,795","$62,730","Boulder, CO
825 mi away",2 miles,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW250034,G220258,New,"$64,795",Wrangler,Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301","2.4 hr charge time, 21 mi range",
122,"$62,289",$475,"$62,765","$64,920","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR63NW190253,NW190253,New,"$62,765",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
123,"$62,378",$475,"$62,854","$63,880","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW266731,NW266731,New,"$62,854",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
124,"$62,403",$475,"$62,879","$65,065","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR60NW199508,NW199508,New,"$62,879",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
125,"$62,920",,,"$62,920","San Antonio, TX
8 mi away",9 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP6XNW198210,W198210,New,"$62,920",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
126,"$62,920",,,"$62,920","San Antonio, TX
8 mi away",14 miles,Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP67NW198214,W198214,New,"$62,920",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
127,"$62,649",$475,"$63,125","$65,320","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Brown (Limited Edition Gobi Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR61NW232659,NW232659,New,"$63,125",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
128,"$62,734",$475,"$63,210","$64,275","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Silver Zynith Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW266730,NW266730,New,"$63,210",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
129,"$62,810",$475,"$63,286","$66,525","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Gray (Granite Crystal Metallic Clearcoat),Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW185243,NW185243,New,"$63,286",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
130,"$63,158",$475,"$63,634","$64,745","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Sting-Gray Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW261397,NW261397,New,"$63,634",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
131,"$63,490",$475,"$63,966","$65,115","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Firecracker Red Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW172119,NW172119,New,"$63,966",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
132,"$63,630",$475,"$64,106","$65,270","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR62NW238812,NW238812,New,"$64,106",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
133,"$64,190",,,"$64,190","San Antonio, TX
8 mi away",0 miles,Automatic,Hydro Blue Pearl Coat,Dark Saddle/Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXP63NW264533,W264533,New,"$64,190",Wrangler,San Antonio Dodge Chrysler Jeep Ram,"11910 N Ih 35 San Antonio, TX 78233","2.4 hr charge time, 21 mi range",
134,"$63,721",$475,"$64,197","$66,510","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Bright White Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR68NW210626,NW210626,New,"$64,197",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
135,"$63,764",$475,"$64,240","$65,420","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Black Clearcoat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW245975,NW245975,New,"$64,240",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
136,"$64,590",Free,"$64,590",Not Provided,,257 miles,8-Speed Automatic,Gray,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR63NW185540,2001854987,New,"$64,590",Wrangler,Carvana,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
137,"$64,181",$475,"$64,657","$65,880","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR6XNW191867,NW191867,New,"$64,657",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
138,"$64,244",$475,"$64,720","$67,110","Lake Charles, LA
319 mi away",---,8-Speed Automatic,Hydro Blue Pearl Coat,Black,"20 MPG City
20 MPG Highway
20 MPG Combined",375 hp 2L I4,Four-Wheel Drive,Gasoline,1C4JJXR60NW153418,NW153418,New,"$64,720",Wrangler,Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607","2.4 hr charge time, 21 mi range",
