Make:,Model:,Year:,Body type:,Exterior color:,Interior color:,Mileage:,VIN:,Price:,Dealer Name:,Dealer Address:,Trim:,Dealer's Price:,MSRP:,Location:,Transmission:,Exterior Color:,Interior Color:,Est. Gas Mileage*:,Battery Performance:,Engine:,Drivetrain:,Fuel Type:,Condition:,Cabin Size:,NHTSA Overall Safety Rating:
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,13 mi,1C4HJXFNXNW246909,"$59,995",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4HJXFN8NW210748,"$60,250",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Blue (Alx9),,1C4HJXFN5NW243786,"$60,250",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Blue (Alx9),,1C4HJXFN6NW240573,"$60,250",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Gray (Alx9),,1C4HJXFN8NW240574,"$60,250",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,,5 mi,1C4HJXFN8NW176083,"$60,735",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray,Black,0 mi,1C4HJXFN4NW246453,"$60,765",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,,5 mi,1C4HJXFN6NW176082,"$61,130",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),,5 mi,1C4HJXFN1NW176085,"$61,130",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,,5 mi,1C4HJXFN4NW176081,"$61,130",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4JJXFG8NW222661,"$61,680",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,4 mi,1C4JJXFG5NW245542,"$62,690",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXFN4NW235176,"$63,480",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXFN1NW241968,"$63,595",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4HJXFNXNW241967,"$63,990",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,4 mi,1C4HJXFN6NW269362,"$66,930",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearlcoat,,26 mi,1C4HJXEG7NW104987,"$69,991",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4JJXSJ3NW112523,"$84,335",AutoNation Chrysler Dodge Jeep Ram North Richland Hills,"7740 Northeast Loop 820 Fort Worth, TX 76180",Rubicon 392 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,,5 mi,1C4JJXSJ5NW191449,"$88,590",Rockwall Chrysler Dodge Jeep Ram,"970 E I-30 Rockwall, TX 75087",Rubicon 392 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4JJXSJ0NW173067,"$88,870",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 392 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clear-Coat Exterior Paint,,0 mi,1C4HJXDG9NW125664,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",Sport Altitude 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clear-Coat Exterior Paint,,0 mi,1C4HJXDG0NW179953,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",Sport Altitude 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clear-Coat Exterior Paint),,0 mi,1C4HJXDG4NW201792,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",Sport S 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clear-Coat Exterior Paint,,0 mi,1C4HJXEG5NW247498,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clear-Coat Exterior Paint),,0 mi,1C4HJXDG2NW201791,4WD,Waxahachie Dodge Chrysler Jeep,"2405 N Interstate 35 E Waxahachie, TX 75167",Sport S 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4HJXEG4NW233267,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,5 mi,1C4HJXDN3NW236614,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",Willys 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Black,5 mi,1C4HJXEN1NW244483,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4HJXEG0NW254200,4WD,Huffines Chrysler Jeep Dodge Ram Lewisville,"1024 S Stemmons Fwy Lewisville, TX 75067",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,11 mi,1C4HJXEG6NW261278,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,12 mi,1C4HJXDG7NW249836,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Willys 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,13 mi,1C4JJXFM1NW176001,4WD,Freedom Dodge Chrysler Jeep Ram,"815 E. Camp Wisdom Road Duncanville, TX 75116",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2021.0,SUV / crossover,Black Clearcoat,Black,52 mi,1C4HJXFG1MW852874,4WD,Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2021.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXEG9MW511272,4WD,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4HJXEN7NW191322,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXFG8NW193502,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4HJXEG0NW220791,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXEG6NW232900,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4HJXEG9NW250100,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4JJXSJ4NW161360,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Rubicon 392 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4HJXEG7NW233716,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4JJXFG0NW160687,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4HJXEG0NW215705,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,,1C4HJXDGXNW156812,4WD,Huffines Chrysler Jeep Dodge Ram Plano,"4500 W Plano Pkwy Plano, TX 75093",Willys 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4JJXSJ0NW237768,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Rubicon 392 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4HJXEN4NW232585,4WD,Uptown Chrysler Dodge Jeep Ram Fiat,"2800 W Mockingbird Ln Dallas, TX 75235",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,White (Clx9),,1C4JJXP62NW197987,"$59,380",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Blue (Clx9),,1C4JJXP60NW274551,"$63,385",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,4 mi,1C4JJXP69NW197999,"$59,775",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Dark Saddle/Black,,1C4JJXP68NW260722,"$55,336",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4JJXP65NW239486,"$55,422",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP69NW271678,"$55,430",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,,1C4JJXP62NW239686,"$55,876",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,7 mi,1C4JJXP66NW206237,"$56,780",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP67NW271677,"$57,173",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP60NW276283,"$57,527",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Black,,1C4JJXP61NW153298,"$57,712",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP61NW274705,"$60,080",Grapevine Chrysler Jeep Dodge,"2601 William D Tate Ave Grapevine, TX 76051",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,25 mi,1C4JJXP60NW177883,"$58,863",Premier CDJR of Lamesa,"1611 Lubbock Hwy Lamesa, TX 79331",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,,1C4JJXP65NW233834,"$59,066",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP69NW229267,"$59,175",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,7 mi,1C4JJXP62NW229269,"$59,215",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP63NW229264,"$59,280",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,White (Clx9),,1C4JJXP62NW197987,"$59,380",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4JJXP69NW278338,"$59,505",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4JJXP65NW229265,"$59,675",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray,Black,0 mi,1C4JJXP67NW274367,"$59,770",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,4 mi,1C4JJXP69NW197999,"$59,775",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,4 mi,1C4JJXP69NW227969,"$59,775",Moritz Chrysler Jeep Dodge,"9101 Camp Bowie West Fort Worth, TX 76116",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP69NW213702,"$59,905",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4JJXP63NW205692,"$61,935",Grapevine Chrysler Jeep Dodge,"2601 William D Tate Ave Grapevine, TX 76051",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Blue (Clx9),,1C4JJXP60NW152918,"$59,945",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4JJXP69NW274905,"$60,045",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4JJXP61NW277586,"$60,179",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Black,,1C4JJXP60NW213703,"$60,300",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,White,Black,0 mi,1C4JJXP62NW198671,"$60,375",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,,1C4JJXP68NW236159,"$60,399",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sarge Green Clearcoat,Black,,1C4JJXP61NW153303,"$60,401",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,,1C4JJXP67NW277754,"$60,401",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearlcoat,Black,0 mi,1C4JJXP62NW274700,"$60,475",Richardson Chrysler Jeep Dodge Ram,"1321 N Central Expy Richardson, TX 75080",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,5 mi,1C4JJXP66NW230148,"$60,480",Barry Sanders Supercenter,"4120 West 6th Avenue Stillwater, OK 74074",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4JJXP69NW229348,"$60,645",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Yellow (High Velocity Clearcoat),Black,4 mi,1C4JJXP69NW205471,"$60,770",Pegasus CDJR,"305 South Interstate Highway 45 Ennis, TX 75119",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black (Clx9),,1C4JJXP69NW280834,"$60,935",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith,Black,0 mi,1C4JJXP60NW198409,"$61,045",Dodge City of McKinney,"700 South Central Expressway Mckinney, TX 75070",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Black,,1C4JJXR68NW249457,"$61,078",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,7 mi,1C4JJXR66NW205750,"$61,170",Shottenkirk Prosper Chrysler Dodge Jeep Ram,"2550 W University Dr Prosper, TX 75078",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4JJXP65NW277610,"$61,228",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP67NW230479,"$61,231",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP67NW229221,"$61,370",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black Clearcoat,Dark Saddle/Black,2 mi,1C4JJXP63NW271126,"$63,155",Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXP62NW249778,"$61,483",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Black,Black,0 mi,1C4JJXP69NW228569,"$61,570",Frisco Chrysler Dodge Jeep Ram,"9640 State Highway 121 Frisco, TX 75035",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Firecracker Red Clearcoat,Black,,1C4JJXP64NW137113,"$61,570",Forest Lane Chrysler Dodge Jeep Ram,"2536 Forest Ln Dallas, TX 75234",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Dark Saddle/Black,2 mi,1C4JJXP67NW275034,"$63,285",Fowler Jeep of Boulder,"5075 East Pearl Pkwy Boulder, CO 80301",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Dark Saddle/Black,,1C4JJXP61NW220272,"$61,613",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal Metallic Clearcoat),Gray (Clx9),,1C4JJXP63NW274656,"$61,630",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White,Black,0 mi,1C4JJXP69NW275827,"$61,815",Dodge City of McKinney,"700 South Central Expressway Mckinney, TX 75070",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Sting-Gray Clearcoat,Dark Saddle/Black,1 mi,1C4JJXP62NW229918,"$61,910",Clay Cooley Chrysler Dodge Jeep,"1261 E Airport Fwy Irving, TX 75062",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearlcoat,Black,0 mi,1C4JJXP65NW228648,"$61,925",Richardson Chrysler Jeep Dodge Ram,"1321 N Central Expy Richardson, TX 75080",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Gray (Granite Crystal),Black,0 mi,1C4JJXP64NW182956,"$61,925",Richardson Chrysler Jeep Dodge Ram,"1321 N Central Expy Richardson, TX 75080",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Silver Zynith Clearcoat,Black,,1C4JJXP60NW277580,"$61,925",Classic Chrysler Dodge Jeep Ram Fiat,"1111 E Interstate 20 Arlington, TX 76018",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXR6XNW268026,"$61,927",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Bright White Clearcoat,Black,,1C4JJXR6XNW268009,"$61,927",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Rubicon 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Brown (Limited Edition Gobi Clearcoat),Dark Saddle/Black,1 mi,1C4JJXP60NW229917,"$62,010",Clay Cooley Chrysler Dodge Jeep,"1261 E Airport Fwy Irving, TX 75062",Sahara 4WD,,,,,,,,,,,,,,
Jeep,Wrangler,2022.0,SUV / crossover,Hydro Blue Pearl Coat,Black,,1C4JJXP63NW259848,"$62,032",Mark Dodge,"3777 Gerstner Memorial Blvd Lake Charles, LA 70607",Sahara 4WD,,,,,,,,,,,,,,
